file;start-date;end-date;collection;asset;item_id
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1984.tif;1.5.1984;30.9.1984;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1984
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1985.tif;1.5.1985;30.9.1985;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1985
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1986.tif;1.5.1986;30.9.1986;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1986
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1987.tif;1.5.1987;30.9.1987;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1987
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1988.tif;1.5.1988;30.9.1988;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1988
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1989.tif;1.5.1989;30.9.1989;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1989
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1990.tif;1.5.1990;30.9.1990;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1990
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1991.tif;1.5.1991;30.9.1991;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1991
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1992.tif;1.5.1992;30.9.1992;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1992
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1993.tif;1.5.1993;30.9.1993;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1993
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1994.tif;1.5.1994;30.9.1994;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1994
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1995.tif;1.5.1995;30.9.1995;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1995
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1996.tif;1.5.1996;30.9.1996;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1996
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1997.tif;1.5.1997;30.9.1997;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1997
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1998.tif;1.5.1998;30.9.1998;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1998
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_1999.tif;1.5.1999;30.9.1999;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_1999
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_2000.tif;1.5.2000;30.9.2000;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_2000
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_2001.tif;1.5.2001;30.9.2001;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_2001
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_2002.tif;1.5.2002;30.9.2002;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_2002
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_2003.tif;1.5.2003;30.9.2003;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_2003
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_2004.tif;1.5.2004;30.9.2004;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_2004
https://pta.data.lit.fmi.fi/lans/landsat57/bands/landsat57_refl_b1_2005.tif;1.5.2005;30.9.2005;syke_harmonized_landsat57_mosaic_at_fmi;B1;L57_2005
