file;start-date;end-date;collection;asset;item_id
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b08_20220615_20220815.tif;15.6.2022;15.8.2022;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B08;S2R_2022
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b08_20230615_20230815.tif;15.6.2023;15.8.2023;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B08;S2R_2023
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b08_20240615_20240815.tif;15.6.2024;15.8.2024;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B08;S2R_2024
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b08_20250615_20250815.tif;15.6.2025;15.8.2025;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B08;S2R_2025
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b11_20220615_20220815.tif;15.6.2022;15.8.2022;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B11;S2R_2022
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b11_20230615_20230815.tif;15.6.2023;15.8.2023;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B11;S2R_2023
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b11_20240615_20240815.tif;15.6.2024;15.8.2024;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B11;S2R_2024
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b11_20250615_20250815.tif;15.6.2025;15.8.2025;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B11;S2R_2025
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b12_20220615_20220815.tif;15.6.2022;15.8.2022;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B12;S2R_2022
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b12_20230615_20230815.tif;15.6.2023;15.8.2023;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B12;S2R_2023
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b12_20240615_20240815.tif;15.6.2024;15.8.2024;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B12;S2R_2024
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_b12_20250615_20250815.tif;15.6.2025;15.8.2025;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;B12;S2R_2025
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_meta_20220615_20220815.tif;15.6.2022;15.8.2022;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;Meta;S2R_2022
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_meta_20230615_20230815.tif;15.6.2023;15.8.2023;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;Meta;S2R_2023
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_meta_20240615_20240815.tif;15.6.2024;15.8.2024;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;Meta;S2R_2024
https://pta.data.lit.fmi.fi/sen2/s2m_s2gm_mos/s2gm_finland_meta_20250615_20250815.tif;15.6.2025;15.8.2025;syke_sentinel2_reflectance_mosaics_2022_onwards_at_fmi;Meta;S2R_2025
